id	subject	predicate	object	relation	knowledge_source
urn:uuid:44f6ab22-701d-4290-b40b-6a177bdcd9aa	238	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:97177d46-844e-4150-a3c8-862dee74dea8	238	biolink:related_to	239	biolink:related_to	bolt://localhost:7687
urn:uuid:0143ead9-ab29-4fe1-b239-b129b6515d78	238	biolink:related_to	240	biolink:related_to	bolt://localhost:7687
urn:uuid:8b25d6b6-fa5a-4ecd-8228-d6d7e20d77fc	239	biolink:related_to	202	biolink:related_to	bolt://localhost:7687
urn:uuid:a0340119-c831-42b1-a330-ae05abb03289	240	biolink:related_to	218	biolink:related_to	bolt://localhost:7687
urn:uuid:573d60aa-48c7-43ea-afa4-974f083e2c7d	241	biolink:related_to	221	biolink:related_to	bolt://localhost:7687
urn:uuid:046b3a25-35f5-4fa5-be1f-f88fa145ecd0	241	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:42416b64-6ec3-4744-85d5-4c68100b590c	242	biolink:related_to	243	biolink:related_to	bolt://localhost:7687
urn:uuid:1b4937c5-9fa4-4247-9a4f-f068c9cd722f	244	biolink:related_to	245	biolink:related_to	bolt://localhost:7687
urn:uuid:9457a3ac-82f2-49cd-917d-0cd7d28f679e	245	biolink:related_to	203	biolink:related_to	bolt://localhost:7687
urn:uuid:a741c1af-f2f2-4b43-8e9c-7569cd97a958	246	biolink:related_to	287	biolink:related_to	bolt://localhost:7687
urn:uuid:e00c5317-c3f0-4317-941d-cdbca532c545	287	biolink:related_to	288	biolink:related_to	bolt://localhost:7687
urn:uuid:c608ef98-fa7d-4c3b-ae61-9c8fda4a6a3b	247	biolink:related_to	203	biolink:related_to	bolt://localhost:7687
urn:uuid:2bdce9a2-d379-4f44-861d-d2d74aabb64b	248	biolink:related_to	252	biolink:related_to	bolt://localhost:7687
urn:uuid:accf4fab-969d-48ad-94ce-da348bbefdb0	248	biolink:related_to	264	biolink:related_to	bolt://localhost:7687
urn:uuid:12f28cde-f82a-4f5a-b95e-5ca659423040	252	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:0650ed22-4c7a-4d09-88cc-802a96ec9d92	252	biolink:related_to	250	biolink:related_to	bolt://localhost:7687
urn:uuid:3cc4b9a1-8af0-45c0-9580-9eb2f24df720	249	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:9b85bcaa-2021-43ba-bbde-ff07614bf8ca	249	biolink:related_to	250	biolink:related_to	bolt://localhost:7687
urn:uuid:5ce20a6d-0ff0-4680-8c11-704f2885ced0	250	biolink:related_to	257	biolink:related_to	bolt://localhost:7687
urn:uuid:99044dcc-363c-4311-88e4-b28fc3878afc	150682	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:1323b968-c07a-4dca-a07a-60d472094c56	1361555	biolink:related_to	1361663	biolink:related_to	bolt://localhost:7687
urn:uuid:9d5c7488-b2a4-4b6a-9d77-56e3deb5b27a	1361555	biolink:related_to	1361664	biolink:related_to	bolt://localhost:7687
urn:uuid:caade855-fa22-457b-8da1-209f9ed34a30	1361555	biolink:related_to	1361665	biolink:related_to	bolt://localhost:7687
urn:uuid:94b936c5-2537-4f5f-80f8-fa4b8e500c27	1361555	biolink:related_to	1361666	biolink:related_to	bolt://localhost:7687
urn:uuid:477d12dc-eec2-48a3-bd2b-d7385d50c07d	1361555	biolink:related_to	1361667	biolink:related_to	bolt://localhost:7687
urn:uuid:640b488d-71a7-4720-b00d-65a36825776a	1361555	biolink:related_to	1361668	biolink:related_to	bolt://localhost:7687
urn:uuid:fa8d1c75-bb5f-4679-8700-beed2deaf57b	1361555	biolink:related_to	1361669	biolink:related_to	bolt://localhost:7687
urn:uuid:0a5bb613-13f3-40da-b73b-29b93ef91baf	151298	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:bc556ec3-dc3a-422b-b952-f9274eb56f33	173382	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:ea6d25c4-bd2b-431e-94e3-857fdfee694c	173509	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:b82ec0a3-196a-4c55-84fb-9e7215c78537	174582	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:66f03820-3991-4c32-b51d-baec9d059aae	180255	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:2ce353db-9b15-4f6f-bb71-f49fa91a058b	180959	biolink:related_to	1361574	biolink:related_to	bolt://localhost:7687
urn:uuid:63aab463-8c78-4aae-8e4d-47e43b0c5be4	1361574	biolink:related_to	1361723	biolink:related_to	bolt://localhost:7687
urn:uuid:8eb25351-40d7-4f06-bfb2-e8cefe28e1ed	1361574	biolink:related_to	1361724	biolink:related_to	bolt://localhost:7687
urn:uuid:2920a320-67dc-4751-8394-e0d152969019	1361574	biolink:related_to	1361725	biolink:related_to	bolt://localhost:7687
urn:uuid:0814fe6f-2efa-4dde-b64e-6ab34d0eca86	1361574	biolink:related_to	1361726	biolink:related_to	bolt://localhost:7687
urn:uuid:59694f42-6e46-49a8-8cb6-b0b71dc9460d	1361574	biolink:related_to	1361727	biolink:related_to	bolt://localhost:7687
urn:uuid:e3caae01-accb-40a0-8c0b-5be03315e4e9	1361574	biolink:related_to	1361728	biolink:related_to	bolt://localhost:7687
urn:uuid:e1bac1cd-0ce0-4796-88ab-3896fa78eaab	1361574	biolink:related_to	1361729	biolink:related_to	bolt://localhost:7687
urn:uuid:87046b1f-3c7a-4644-946d-4d0b2e706114	1361574	biolink:related_to	1361730	biolink:related_to	bolt://localhost:7687
urn:uuid:15a5ff75-d4ea-4873-acd5-af498f2d5deb	1361574	biolink:related_to	1361731	biolink:related_to	bolt://localhost:7687
urn:uuid:5c3ed3c3-1b95-4789-9aac-061078d3ccf3	1361574	biolink:related_to	1361732	biolink:related_to	bolt://localhost:7687
urn:uuid:25f1b9f6-61dc-4a85-89fe-8eeab45960d2	181654	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:08d441ff-6fb8-48ec-8e98-28f96940b245	181746	biolink:related_to	1361574	biolink:related_to	bolt://localhost:7687
urn:uuid:3c4f3d67-208a-4301-899a-7e0a030349fd	182919	biolink:related_to	1361574	biolink:related_to	bolt://localhost:7687
urn:uuid:06e54ade-9f4b-411a-85a5-83a47e5fd8ef	182957	biolink:related_to	1361583	biolink:related_to	bolt://localhost:7687
urn:uuid:b598ab4b-286d-472c-bcda-32328734c80b	1361583	biolink:related_to	1361757	biolink:related_to	bolt://localhost:7687
urn:uuid:6ba93537-98ca-4a69-9f19-df6886848934	1361583	biolink:related_to	1361758	biolink:related_to	bolt://localhost:7687
urn:uuid:afc18bdc-5001-4b2f-bae4-031738c5f756	183105	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:8697cb53-2548-4b9d-b92f-5e3809ec9794	183847	biolink:related_to	1361574	biolink:related_to	bolt://localhost:7687
urn:uuid:6b42ec39-e55f-4a21-a7a0-79e145be527e	184129	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:a7075afd-1512-4209-9326-78d08e1e2bb8	184278	biolink:related_to	1361583	biolink:related_to	bolt://localhost:7687
urn:uuid:54df17d8-5fe6-4795-8025-ac8d7f7d0b49	184360	biolink:related_to	1361550	biolink:related_to	bolt://localhost:7687
urn:uuid:82a34cb3-9468-4ee0-a2c3-02be7a8eff8f	1361550	biolink:related_to	1361655	biolink:related_to	bolt://localhost:7687
urn:uuid:8040e32c-5940-4295-85ab-266d1a1eebab	1361550	biolink:related_to	1361656	biolink:related_to	bolt://localhost:7687
urn:uuid:edb77458-8255-4951-8e67-f73dfe2fca54	1361550	biolink:related_to	1361657	biolink:related_to	bolt://localhost:7687
urn:uuid:d8a779a2-0a79-4eeb-8bbb-e53254dabac0	1361550	biolink:related_to	1361658	biolink:related_to	bolt://localhost:7687
urn:uuid:6a5231d9-8211-40ff-8990-68792d771885	184473	biolink:related_to	1361583	biolink:related_to	bolt://localhost:7687
urn:uuid:20acf80e-e17e-44d9-abc4-31df3ee573e2	184630	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:baba3be4-7827-459c-b731-ad30d9c57392	184690	biolink:related_to	1361574	biolink:related_to	bolt://localhost:7687
urn:uuid:f2541e6a-03fc-4f7f-9a3a-eaf9bd32f094	185666	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:a81486f9-a3c2-4722-abfe-1c84281c23f3	187830	biolink:related_to	1361550	biolink:related_to	bolt://localhost:7687
urn:uuid:df77a132-0e6d-4457-b0f3-3d5ac1a65564	187970	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:55a1ae59-148a-444c-ac29-5a38a6e28e61	189641	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:56596f4d-2beb-4a13-81a7-ae34e97e0913	191518	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:512762ed-6c0e-421f-94a3-03a96d4e29d5	195731	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:35de2fdf-6ba1-4431-81b3-6716f3a11d94	199170	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:a46c5963-58e1-4791-bc49-5f9b7533a0a8	199531	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:da69e061-ec2a-42b3-86d8-3994031f5367	199942	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:29fdc548-bedb-4f3e-a55e-53f5c7bda41f	201459	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:99a9ef52-9661-42e4-bfcd-f4e45bdf117f	203836	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:c6c86046-059d-404d-9d23-c5cc9d37ecf2	204190	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:923a37c7-3f6c-4a21-96fe-a58f2a72faf9	204584	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:f126af6c-5427-4d0e-8e0e-2eff1555e0cb	206448	biolink:related_to	1361542	biolink:related_to	bolt://localhost:7687
urn:uuid:ca5af148-1cf5-49bc-9ab0-c3134449fd06	1361542	biolink:related_to	1361624	biolink:related_to	bolt://localhost:7687
urn:uuid:3dc46e9f-a6ec-47da-a16d-3f46ac6b69dd	1361542	biolink:related_to	1361625	biolink:related_to	bolt://localhost:7687
urn:uuid:fe86c45b-1f48-46c3-82af-da91bcced63b	1361542	biolink:related_to	1361626	biolink:related_to	bolt://localhost:7687
urn:uuid:3131e9b6-25e5-41e5-8916-050336aa7af5	1361542	biolink:related_to	1361627	biolink:related_to	bolt://localhost:7687
urn:uuid:24af56a4-fd53-4ffb-a015-ddfa51f66558	1361542	biolink:related_to	1361628	biolink:related_to	bolt://localhost:7687
urn:uuid:2dd66660-8c9d-4702-8896-658217ca72ab	1361542	biolink:related_to	1361629	biolink:related_to	bolt://localhost:7687
urn:uuid:ef412356-692b-4ec3-a089-37829736d826	1361542	biolink:related_to	1361630	biolink:related_to	bolt://localhost:7687
urn:uuid:28674500-06b6-498f-9963-1fd9455e6847	1361542	biolink:related_to	1361631	biolink:related_to	bolt://localhost:7687
urn:uuid:686a4882-5e52-466e-a7d0-a7dee2529199	1361542	biolink:related_to	1361632	biolink:related_to	bolt://localhost:7687
urn:uuid:a941e9d0-f6c8-4850-acfd-1c239ebf0f01	1361542	biolink:related_to	1361633	biolink:related_to	bolt://localhost:7687
urn:uuid:641559a6-1f16-45f9-98c5-c9a5a6638f86	1361542	biolink:related_to	1361634	biolink:related_to	bolt://localhost:7687
urn:uuid:31e9499c-279c-4011-b454-81ff381aabae	1361542	biolink:related_to	1361635	biolink:related_to	bolt://localhost:7687
urn:uuid:1a48ab5f-f52b-47fd-a1ac-87f9854b076c	1361542	biolink:related_to	1361636	biolink:related_to	bolt://localhost:7687
urn:uuid:18f110ea-ca3a-413d-b050-7d40277b58ef	1361542	biolink:related_to	1361637	biolink:related_to	bolt://localhost:7687
urn:uuid:4ad67aeb-8744-4a25-882f-96f56c31fe6f	1361542	biolink:related_to	1361638	biolink:related_to	bolt://localhost:7687
urn:uuid:ad51df20-6e7e-4863-863b-e52285b813fc	1361542	biolink:related_to	1361639	biolink:related_to	bolt://localhost:7687
urn:uuid:6ee11fc1-009e-4117-af13-8f03ede74513	1361542	biolink:related_to	1361640	biolink:related_to	bolt://localhost:7687
urn:uuid:ba2ce276-72cc-4efc-939e-97ae4978377c	1361542	biolink:related_to	1361641	biolink:related_to	bolt://localhost:7687
urn:uuid:192f1aae-0d30-4767-a5ac-8ec879221bd5	1361542	biolink:related_to	1361642	biolink:related_to	bolt://localhost:7687
urn:uuid:9a08a07e-3a04-4833-a696-44b9a0bab1bb	1361542	biolink:related_to	1361643	biolink:related_to	bolt://localhost:7687
urn:uuid:8d400264-1a12-4269-b99c-5a1f58f77adb	1361542	biolink:related_to	1361644	biolink:related_to	bolt://localhost:7687
urn:uuid:4cec5071-5365-477a-b6e2-32ddd12fa5b7	1361542	biolink:related_to	1361645	biolink:related_to	bolt://localhost:7687
urn:uuid:125150cc-826d-4fa2-abd4-5c104deb6f2e	206649	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:b48b0d31-30f2-4024-bab2-101538059816	208046	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:c473847f-bc49-4a2b-9856-3beae1efd090	213792	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:222d95c6-aeaf-4247-ad36-c3c66074ccdb	214770	biolink:related_to	1361550	biolink:related_to	bolt://localhost:7687
urn:uuid:ebd04f6d-c13c-4a13-ae97-139f01adf71f	215619	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:113b754e-ad6c-4afa-be2f-a1c187acc29d	216175	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:74fb3284-3b28-4c09-8e95-a59dc0c3a4a7	225033	biolink:related_to	1361540	biolink:related_to	bolt://localhost:7687
urn:uuid:2e25b56f-945f-4a23-8e50-e8388ae71413	225033	biolink:related_to	1361554	biolink:related_to	bolt://localhost:7687
urn:uuid:2001b485-9e48-4ccd-b801-ad78dbde52f0	225033	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:207eb371-26df-4feb-9e73-f9149d8fe335	1361540	biolink:related_to	1361597	biolink:related_to	bolt://localhost:7687
urn:uuid:08ccf838-311c-435d-bf2e-9e2753cd0eed	1361540	biolink:related_to	1361598	biolink:related_to	bolt://localhost:7687
urn:uuid:cb9dc3fb-8e5d-4c0c-9cf3-99decea182e3	1361540	biolink:related_to	1361599	biolink:related_to	bolt://localhost:7687
urn:uuid:498bb581-c92e-48a7-8bac-c9bfc0f63fce	1361540	biolink:related_to	1361600	biolink:related_to	bolt://localhost:7687
urn:uuid:c4d3b9a2-3c36-4a13-ab88-c953c846a227	1361540	biolink:related_to	1361601	biolink:related_to	bolt://localhost:7687
urn:uuid:75e27641-0668-479b-b3aa-2bb6a5d64dbf	1361540	biolink:related_to	1361602	biolink:related_to	bolt://localhost:7687
urn:uuid:f03590a4-194c-4b05-9556-ea1f94498dba	1361540	biolink:related_to	1361603	biolink:related_to	bolt://localhost:7687
urn:uuid:33de4f5e-0aa8-423f-8f4f-85104b86cc12	1361540	biolink:related_to	1361604	biolink:related_to	bolt://localhost:7687
urn:uuid:349512e9-96e6-46f7-b39f-e4ab8527960e	1361540	biolink:related_to	1361605	biolink:related_to	bolt://localhost:7687
urn:uuid:be52f1f5-d634-4fa9-a296-8038b36c50e5	1361540	biolink:related_to	1361606	biolink:related_to	bolt://localhost:7687
urn:uuid:f8d0e558-b611-4f31-b748-31df9e846dfb	1361540	biolink:related_to	1361607	biolink:related_to	bolt://localhost:7687
urn:uuid:47f63fb5-3b5d-48cd-966e-7defa571944e	1361540	biolink:related_to	1361608	biolink:related_to	bolt://localhost:7687
urn:uuid:68ee3370-cba4-4b9d-88c5-4ed1c8aa8ad8	1361540	biolink:related_to	1361609	biolink:related_to	bolt://localhost:7687
urn:uuid:9bfa0be7-e330-4862-acc8-7f08109892a5	1361540	biolink:related_to	1361610	biolink:related_to	bolt://localhost:7687
urn:uuid:6fac5078-c66e-4dba-a02a-aa13bc736e53	1361540	biolink:related_to	1361611	biolink:related_to	bolt://localhost:7687
urn:uuid:294467a9-8acb-49a3-bb90-cd6fb52cb77e	1361540	biolink:related_to	1361612	biolink:related_to	bolt://localhost:7687
urn:uuid:a4bb75a7-337d-4c19-a863-bcd66de6c0a2	1361540	biolink:related_to	1361613	biolink:related_to	bolt://localhost:7687
